datetime,Anemometer;wind_speed;Avg (m/s),Anemometer;wind_speed;Max (m/s),Anemometer;wind_speed;Min (m/s),Anemometer;wind_speed;StdDev (m/s),Anemometer;wind_speed;Count (),Wind Vane TMR;wind_direction;Avg (°),Wind Vane TMR;wind_direction;StdDev (°),Wind Vane TMR;wind_direction;Count (),Hygro/Thermo;humidity;Avg (%),Hygro/Thermo;humidity;Max (%),Hygro/Thermo;humidity;Min (%),Hygro/Thermo;humidity;StdDev (%),Hygro/Thermo;humidity;Count (),Hygro/Thermo;temperature;Avg (°C),Hygro/Thermo;temperature;Max (°C),Hygro/Thermo;temperature;Min (°C),Hygro/Thermo;temperature;StdDev (°C),Hygro/Thermo;temperature;Count (),Barometer;air_pressure;Avg (hPa),Barometer;air_pressure;Max (hPa),Barometer;air_pressure;Min (hPa),Barometer;air_pressure;StdDev (hPa),Barometer;air_pressure;Count (),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Avg (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Max (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Min (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;StdDev (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Count (),GHI (Global Horizontal Irradiance);solar_irradiance;Avg (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;Max (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;Min (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;StdDev (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;Count (),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Avg (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Max (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Min (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;StdDev (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Count (),Precipitation;precipitation;Count (),Precipitation;precipitation;Sum (mm),GTI (Global Tilt Irradiance) PV Cell;voltage;Avg (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;Max (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;Min (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;StdDev (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;Count (),Theta;other;Avg (°),Theta;other;Max (°),Theta;other;Min (°),Theta;other;StdDev (°),Theta;other;Count (),A1;channel;Avg (V),A1;channel;Max (V),A1;channel;Min (V),A1;channel;StdDev (V),A2;channel;Avg (V),A2;channel;Max (V),A2;channel;Min (V),A2;channel;StdDev (V),A3;channel;Avg (V),A3;channel;Max (V),A3;channel;Min (V),A3;channel;StdDev (V),A4;channel;Avg (V),A4;channel;Max (V),A4;channel;Min (V),A4;channel;StdDev (V),A5;channel;Avg (V),A5;channel;Max (V),A5;channel;Min (V),A5;channel;StdDev (V),A6;channel;Avg (V),A6;channel;Max (V),A6;channel;Min (V),A6;channel;StdDev (V),A7;channel;Avg (V),A7;channel;Max (V),A7;channel;Min (V),A7;channel;StdDev (V),C1;channel;Avg (I),C1;channel;Max (I),C1;channel;Min (I),C1;channel;StdDev (I),C2;channel;Avg (I),C2;channel;Max (I),C2;channel;Min (I),C2;channel;StdDev (I),D1;channel;Avg (),D1;channel;Max (),D1;channel;Min (),D1;channel;StdDev (),T;channel;Avg (°C),I;channel;Avg (mA),I;channel;Max (mA),I;channel;Min (mA),V;channel;Avg (V),V;channel;Max (V),V;channel;Min (V)
2022-11-07 00:00:00,1.9884,3.6416,0.3664,0.6924,120,103.3287,31.9615,120,79.0114,79.104,78.8903,0.0514,120,25.9937,26.0472,25.9404,0.0219,120,1007.6745,1007.7578,1007.5381,0.0857,120,0,0,0,0,120,0,0,0,0,120,13.8263,14.2604,13.2775,0.1931,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4612,3.4626,3.459,0.0014,0.5599,0.5605,0.5594,0.0002,0.7901,0.791,0.7889,0.0005,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,193.3,373,17,75.2605,0,0,0,0,320.3,1002,96,136.3783,35,44.2833,53,41,23.65,23.68,23.63
2022-11-07 00:10:00,1.6882,3.66,0.5872,0.6043,120,101.9872,38.1251,120,78.985,79.1345,78.6767,0.0939,120,25.9953,26.0564,25.9374,0.0227,120,1007.5251,1007.7395,1007.3733,0.0714,120,0,0,0,0,120,0,0,0,0,120,13.6829,14.2604,13.2775,0.2176,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4588,3.4623,3.4562,0.0012,0.5599,0.5606,0.5594,0.0002,0.7898,0.7913,0.7868,0.0009,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,160.675,375,41,65.6853,0,0,0,0,313.6333,981,18,141.2953,35,41.7167,47,39,23.66,23.68,23.63
2022-11-07 00:20:00,1.6269,2.9056,0.394,0.5693,120,96.8637,29.534,120,78.8186,78.9209,78.6767,0.0524,120,25.9129,25.9893,25.858,0.0247,120,1007.4451,1007.5747,1007.355,0.0811,120,0,0,0,0,120,0,0,0,0,120,13.6297,14.2604,13.2775,0.2563,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4574,3.4596,3.4559,0.0014,0.5591,0.5599,0.5586,0.0003,0.7882,0.7892,0.7868,0.0005,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,154.0083,293,20,61.8814,0,0,0,0,275.1833,523,38,85.4415,35,41.9,49,39,23.66,23.68,23.63
2022-11-07 00:30:00,1.5296,3.1448,0.3204,0.6035,120,96.8617,29.6785,120,78.6406,78.7683,78.5241,0.0637,120,25.8861,25.9374,25.8275,0.0248,120,1007.3928,1007.5564,1007.1902,0.054,120,0,0,0,0,120,0,0,0,0,120,13.6379,14.2604,13.2775,0.2274,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4565,3.4593,3.4532,0.0009,0.5589,0.5594,0.5583,0.0003,0.7864,0.7877,0.7852,0.0006,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,143.4333,319,12,65.5957,0,0,0,0,279.9583,745,25,91.4276,35,41.6667,47,39,23.66,23.68,23.63
2022-11-07 00:40:00,1.4617,2.4364,0.6884,0.4443,120,104.2884,28.743,120,78.5201,78.6157,78.4326,0.0397,120,25.8441,25.9069,25.7726,0.0274,120,1007.3466,1007.5381,1007.1718,0.0752,120,0,0,0,0,120,0,0,0,0,120,13.687,14.2604,13.2775,0.2238,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4558,3.459,3.4529,0.0013,0.5584,0.5591,0.5577,0.0003,0.7852,0.7862,0.7843,0.0004,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,136.0583,242,52,48.2947,0,0,0,0,299.2417,644,68,85.0118,35,41.8333,47,39,23.65,23.68,23.63
2022-11-07 00:50:00,1.3293,2.7216,0.4492,0.4976,120,100.9108,36.4494,120,78.5813,78.7072,78.4936,0.0562,120,25.7919,25.8428,25.7451,0.0205,120,1007.3002,1007.3916,1007.1718,0.094,120,0,0,0,0,120,0,0,0,0,120,13.6379,13.7689,13.2775,0.2182,120,120,0,0,0,0,0,120,None,None,None,None,0,3.455,3.4565,3.4529,0.0016,0.5579,0.5584,0.5575,0.0002,0.7858,0.7871,0.7849,0.0006,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,121.6667,273,26,54.0882,0,0,0,0,306.225,921,1,132.3585,35,41.4,47,39,23.66,23.68,23.63
2022-11-07 01:00:00,1.2809,3.0804,0.3112,0.6471,120,103.2137,40.361,120,78.6953,78.7683,78.5852,0.0458,120,25.8062,25.858,25.7543,0.0237,120,1007.093,1007.3733,1006.9887,0.0947,120,0,0,0,0,120,0,0,0,0,120,13.6911,14.2604,13.2775,0.2207,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4515,3.4562,3.4498,0.0016,0.5581,0.5586,0.5575,0.0002,0.787,0.7877,0.7859,0.0005,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,116.4,312,11,70.3375,0,0,0,0,307.5583,965,4,129.6421,35,41.65,47,39,23.66,23.68,23.63
2022-11-07 01:10:00,1.0122,1.8752,0.2928,0.3364,120,103.966,38.2553,120,78.8326,78.9819,78.7072,0.0725,120,25.7985,25.8428,25.7512,0.0202,120,1007.0891,1007.2085,1006.9887,0.0916,120,0,0,0,0,120,0,0,0,0,120,13.6543,13.7689,13.2775,0.2087,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4515,3.4535,3.4498,0.0015,0.558,0.5584,0.5575,0.0002,0.7883,0.7898,0.7871,0.0007,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,87.2,181,9,36.5687,0,0,0,0,300.675,671,81,111.6642,35,41.9667,47,39,23.65,23.68,23.63
2022-11-07 01:20:00,1.3332,2.4364,0.5964,0.4008,120,103.4218,27.2232,120,79.0035,79.165,78.8903,0.0539,120,25.78,25.8397,25.7085,0.0296,120,1007.0092,1007.2085,1006.9887,0.039,120,0,0,0,0,120,0,0,0,0,120,13.642,14.2604,13.2775,0.2508,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4502,3.4535,3.4498,0.0007,0.5578,0.5584,0.5571,0.0003,0.79,0.7917,0.7889,0.0005,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,122.0833,242,42,43.5667,0,0,0,0,295.8333,589,138,78.8633,34.1,41.8833,47,39,23.65,23.68,23.63
2022-11-07 01:30:00,1.0862,2.2156,0.4032,0.4062,120,82.9762,31.5604,120,79.1637,79.2261,79.0429,0.0441,120,25.7315,25.7848,25.6688,0.0224,120,1006.8836,1007.0254,1006.6225,0.0974,120,0,0,0,0,120,0,0,0,0,120,13.5969,13.7689,13.2775,0.2354,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4481,3.4504,3.4437,0.0016,0.5573,0.5578,0.5567,0.0002,0.7916,0.7923,0.7904,0.0004,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,95.2417,218,21,44.1478,0,0,0,0,249.35,989,25,125.8776,34,41.7,47,39,23.65,23.68,23.63
2022-11-07 01:40:00,1.389,2.2432,0.4676,0.423,120,105.4719,34.475,120,79.3771,79.5923,79.1345,0.1089,120,25.6574,25.7298,25.5803,0.0323,120,1006.6819,1007.0071,1006.6042,0.0947,120,0,0,0,0,120,0,0,0,0,120,13.6584,14.2604,13.2775,0.2249,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4447,3.4501,3.4434,0.0016,0.5566,0.5573,0.5558,0.0003,0.7938,0.7959,0.7913,0.0011,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,128.15,221,28,45.9736,0,0,0,0,311.4417,784,4,111.6967,34,41.5667,47,41,23.65,23.68,23.63
2022-11-07 01:50:00,1.2508,2.2892,0.3296,0.462,120,102.353,26.595,120,79.7881,80.0195,79.5312,0.1323,120,25.6097,25.6627,25.5498,0.0242,120,1006.6048,1006.8239,1006.4211,0.0567,120,0,0,0,0,120,0,0,0,0,120,13.5273,14.2604,12.786,0.2703,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4434,3.4471,3.4404,0.0009,0.5561,0.5566,0.5555,0.0002,0.7979,0.8002,0.7953,0.0013,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,113.1333,226,13,50.2143,0,0,0,0,298.6667,974,96,95.2128,34,41.6,47,39,23.65,23.68,23.63
2022-11-07 02:00:00,1.1344,2.7952,0.4308,0.4504,120,116.6477,29.2565,120,80.2154,80.4773,79.928,0.155,120,25.5932,25.6383,25.5437,0.0188,120,1006.5812,1006.6408,1006.4211,0.0777,120,0,0,0,0,120,0,0,0,0,120,13.5805,13.7689,13.2775,0.2399,120,120,0,0,0,0,0,120,None,None,None,None,0,3.443,3.444,3.4404,0.0013,0.5559,0.5564,0.5554,0.0002,0.8022,0.8048,0.7993,0.0016,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,100.475,281,24,48.9517,0,0,0,0,343.3417,1014,121,108.4414,34,41.65,47,39,23.65,23.68,23.63
