datetime,Anemometer;wind_speed;Avg (m/s),Anemometer;wind_speed;Max (m/s),Anemometer;wind_speed;Min (m/s),Anemometer;wind_speed;StdDev (m/s),Anemometer;wind_speed;Count (),Wind Vane TMR;wind_direction;Avg (°),Wind Vane TMR;wind_direction;StdDev (°),Wind Vane TMR;wind_direction;Count (),Hygro/Thermo;humidity;Avg (%),Hygro/Thermo;humidity;Max (%),Hygro/Thermo;humidity;Min (%),Hygro/Thermo;humidity;StdDev (%),Hygro/Thermo;humidity;Count (),Hygro/Thermo;temperature;Avg (°C),Hygro/Thermo;temperature;Max (°C),Hygro/Thermo;temperature;Min (°C),Hygro/Thermo;temperature;StdDev (°C),Hygro/Thermo;temperature;Count (),Barometer;air_pressure;Avg (hPa),Barometer;air_pressure;Max (hPa),Barometer;air_pressure;Min (hPa),Barometer;air_pressure;StdDev (hPa),Barometer;air_pressure;Count (),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Avg (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Max (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Min (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;StdDev (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Count (),GHI (Global Horizontal Irradiance);solar_irradiance;Avg (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;Max (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;Min (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;StdDev (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;Count (),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Avg (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Max (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Min (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;StdDev (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Count (),Precipitation;precipitation;Count (),Precipitation;precipitation;Sum (mm),GTI (Global Tilt Irradiance) PV Cell;voltage;Avg (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;Max (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;Min (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;StdDev (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;Count (),Theta;other;Avg (°),Theta;other;Max (°),Theta;other;Min (°),Theta;other;StdDev (°),Theta;other;Count (),A1;channel;Avg (V),A1;channel;Max (V),A1;channel;Min (V),A1;channel;StdDev (V),A2;channel;Avg (V),A2;channel;Max (V),A2;channel;Min (V),A2;channel;StdDev (V),A3;channel;Avg (V),A3;channel;Max (V),A3;channel;Min (V),A3;channel;StdDev (V),A4;channel;Avg (V),A4;channel;Max (V),A4;channel;Min (V),A4;channel;StdDev (V),A5;channel;Avg (V),A5;channel;Max (V),A5;channel;Min (V),A5;channel;StdDev (V),A6;channel;Avg (V),A6;channel;Max (V),A6;channel;Min (V),A6;channel;StdDev (V),A7;channel;Avg (V),A7;channel;Max (V),A7;channel;Min (V),A7;channel;StdDev (V),C1;channel;Avg (I),C1;channel;Max (I),C1;channel;Min (I),C1;channel;StdDev (I),C2;channel;Avg (I),C2;channel;Max (I),C2;channel;Min (I),C2;channel;StdDev (I),D1;channel;Avg (),D1;channel;Max (),D1;channel;Min (),D1;channel;StdDev (),T;channel;Avg (°C),I;channel;Avg (mA),I;channel;Max (mA),I;channel;Min (mA),V;channel;Avg (V),V;channel;Max (V),V;channel;Min (V)
2022-11-22 00:00:00,1.8347,4.0924,0.4124,0.6738,120,103.2372,31.9775,120,74.3955,74.6178,74.1905,0.1332,120,25.8202,25.8794,25.7848,0.0278,120,1006.578,1006.6408,1006.4028,0.0769,120,0,0,0,0,120,0,0,0,0,120,13.6747,14.2604,13.2775,0.2234,120,120,0,0,0,0,0,120,None,None,None,None,0,3.443,3.444,3.44,0.0013,0.5582,0.5588,0.5578,0.0003,0.744,0.7462,0.7419,0.0013,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,176.6,422,22,73.2372,0,0,0,0,295.3583,616,47,93.6329,35,47.9333,51,47,23.66,23.68,23.63
2022-11-22 00:10:00,1.3602,2.326,0.3664,0.4679,120,104.3013,32.2951,120,74.7215,74.8009,74.6178,0.0615,120,25.7885,25.8,25.7756,0.005,120,1006.4667,1006.6408,1006.2197,0.091,120,0,0,0,0,120,0,0,0,0,120,13.6092,14.2604,13.2775,0.2398,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4411,3.444,3.437,0.0015,0.5579,0.558,0.5578,0.0001,0.7472,0.748,0.7462,0.0006,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,125.025,230,17,50.8611,0,0,0,0,303.9167,1001,21,110.9938,35,48.1167,49,47,23.65,23.68,23.63
2022-11-22 00:20:00,1.5833,2.6204,0.6516,0.4894,120,102.4395,35.5732,120,74.9143,75.1061,74.7703,0.0926,120,25.7811,25.7939,25.7726,0.0049,120,1006.3805,1006.6408,1006.2197,0.0935,120,0,0,0,0,120,0,0,0,0,120,13.7034,14.2604,13.2775,0.2008,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4397,3.444,3.437,0.0016,0.5578,0.5579,0.5577,0.0001,0.7491,0.7511,0.7477,0.0009,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,149.275,262,48,53.2001,0,0,0,0,300.7167,880,19,113.5039,35,48.4333,53,47,23.65,23.68,23.63
2022-11-22 00:30:00,1.5196,2.9056,0.6884,0.4817,120,100.5079,25.8425,120,75.2297,75.3807,75.0755,0.0844,120,25.7651,25.7878,25.7298,0.0161,120,1006.2581,1006.4394,1006.2197,0.0658,120,0,0,0,0,120,0,0,0,0,120,13.6092,13.7689,13.2775,0.2312,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4376,3.4407,3.437,0.0011,0.5576,0.5579,0.5573,0.0002,0.7523,0.7538,0.7508,0.0008,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,142.35,293,52,52.3564,0,0,0,0,293.3333,992,98,95.2479,35,47.4,51,45,23.65,23.68,23.63
2022-11-22 00:40:00,1.6228,3.1172,0.394,0.6186,120,107.6256,40.3129,120,75.4964,75.5638,75.3502,0.0588,120,25.7203,25.7359,25.7024,0.0069,120,1006.2328,1006.4211,1006.0366,0.027,120,0,0,0,0,120,0,0,0,0,120,13.6256,14.2604,13.2775,0.2417,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4372,3.4404,3.4339,0.0004,0.5572,0.5574,0.557,0.0001,0.755,0.7556,0.7535,0.0006,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,153.5667,316,20,67.2407,0,0,0,0,331.8667,979,18,146.7865,35,46.9,49,41,23.66,23.68,23.63
2022-11-22 00:50:00,1.4162,2.4548,0.4124,0.4993,120,105.7416,27.7937,120,75.5155,75.5638,75.4723,0.0184,120,25.6961,25.7176,25.6566,0.0169,120,1006.2249,1006.4211,1006.0366,0.0388,120,0,0,0,0,120,0,0,0,0,120,13.5273,13.7689,13.2775,0.2467,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4371,3.4404,3.4339,0.0006,0.557,0.5572,0.5566,0.0002,0.7552,0.7556,0.7547,0.0002,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,131.1083,244,22,54.2715,0,0,0,0,303.6667,630,168,81.4942,35,46.7833,49,41,23.66,23.68,23.63
2022-11-22 01:00:00,1.4903,2.786,0.5228,0.4312,120,113.4508,28.0531,120,75.5839,75.6554,75.5028,0.03,120,25.6304,25.6597,25.6108,0.012,120,1006.2455,1006.4211,1006.0366,0.0836,120,0,0,0,0,120,0,0,0,0,120,13.5928,13.7689,13.2775,0.2366,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4374,3.4404,3.4339,0.0014,0.5563,0.5566,0.5561,0.0001,0.7558,0.7566,0.755,0.0003,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,139.1583,280,34,46.8748,0,0,0,0,323.3667,599,168,80.7384,35,46.8167,47,41,23.65,23.68,23.63
2022-11-22 01:10:00,1.3007,2.4456,0.532,0.4754,120,118.3305,34.9728,120,75.6686,75.808,75.5943,0.0481,120,25.6155,25.6261,25.6047,0.0049,120,1006.1689,1006.238,1006.0182,0.0857,120,0,0,0,0,120,0,0,0,0,120,13.6256,14.2604,13.2775,0.2332,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4361,3.4373,3.4336,0.0014,0.5562,0.5563,0.5561,0.0001,0.7567,0.7581,0.7559,0.0005,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,118.55,243,35,51.6728,0,0,0,0,336.95,753,14,104.8948,35,46.8833,49,41,23.66,23.68,23.63
2022-11-22 01:20:00,1.3968,2.8228,0.4216,0.504,120,100.1479,26.9615,120,75.7065,75.808,75.5638,0.0567,120,25.6131,25.6352,25.5773,0.0164,120,1006.1156,1006.238,1006.0182,0.0913,120,0,0,0,0,120,0,0,0,0,120,13.5928,13.7689,13.2775,0.2366,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4353,3.4373,3.4336,0.0015,0.5561,0.5564,0.5558,0.0002,0.7571,0.7581,0.7556,0.0006,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,129,284,23,54.7854,0,0,0,0,286.4917,587,55,79.0777,35,46.8333,47,41,23.65,23.68,23.63
2022-11-22 01:30:00,1.3722,2.694,0.4676,0.4338,120,100.2712,30.037,120,75.6195,75.6859,75.5638,0.0255,120,25.5407,25.5773,25.5223,0.0153,120,1006.1133,1006.238,1005.8351,0.0941,120,0,0,0,0,120,0,0,0,0,120,13.5764,13.7689,13.2775,0.2409,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4352,3.4373,3.4306,0.0016,0.5554,0.5558,0.5552,0.0001,0.7562,0.7569,0.7556,0.0003,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,126.325,270,28,47.1486,0,0,0,0,291.7167,982,66,103.8755,35,46.7833,47,41,23.65,23.68,23.63
