datetime,Anemometer;wind_speed;Avg (m/s),Anemometer;wind_speed;Max (m/s),Anemometer;wind_speed;Min (m/s),Anemometer;wind_speed;StdDev (m/s),Anemometer;wind_speed;Count (),Wind Vane TMR;wind_direction;Avg (°),Wind Vane TMR;wind_direction;StdDev (°),Wind Vane TMR;wind_direction;Count (),Hygro/Thermo;humidity;Avg (%),Hygro/Thermo;humidity;Max (%),Hygro/Thermo;humidity;Min (%),Hygro/Thermo;humidity;StdDev (%),Hygro/Thermo;humidity;Count (),Hygro/Thermo;temperature;Avg (°C),Hygro/Thermo;temperature;Max (°C),Hygro/Thermo;temperature;Min (°C),Hygro/Thermo;temperature;StdDev (°C),Hygro/Thermo;temperature;Count (),Barometer;air_pressure;Avg (hPa),Barometer;air_pressure;Max (hPa),Barometer;air_pressure;Min (hPa),Barometer;air_pressure;StdDev (hPa),Barometer;air_pressure;Count (),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Avg (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Max (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Min (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;StdDev (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Count (),GHI (Global Horizontal Irradiance);solar_irradiance;Avg (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;Max (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;Min (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;StdDev (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;Count (),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Avg (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Max (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Min (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;StdDev (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Count (),Precipitation;precipitation;Count (),Precipitation;precipitation;Sum (mm),GTI (Global Tilt Irradiance) PV Cell;voltage;Avg (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;Max (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;Min (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;StdDev (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;Count (),Theta;other;Avg (°),Theta;other;Max (°),Theta;other;Min (°),Theta;other;StdDev (°),Theta;other;Count (),A1;channel;Avg (V),A1;channel;Max (V),A1;channel;Min (V),A1;channel;StdDev (V),A2;channel;Avg (V),A2;channel;Max (V),A2;channel;Min (V),A2;channel;StdDev (V),A3;channel;Avg (V),A3;channel;Max (V),A3;channel;Min (V),A3;channel;StdDev (V),A4;channel;Avg (V),A4;channel;Max (V),A4;channel;Min (V),A4;channel;StdDev (V),A5;channel;Avg (V),A5;channel;Max (V),A5;channel;Min (V),A5;channel;StdDev (V),A6;channel;Avg (V),A6;channel;Max (V),A6;channel;Min (V),A6;channel;StdDev (V),A7;channel;Avg (V),A7;channel;Max (V),A7;channel;Min (V),A7;channel;StdDev (V),C1;channel;Avg (I),C1;channel;Max (I),C1;channel;Min (I),C1;channel;StdDev (I),C2;channel;Avg (I),C2;channel;Max (I),C2;channel;Min (I),C2;channel;StdDev (I),D1;channel;Avg (),D1;channel;Max (),D1;channel;Min (),D1;channel;StdDev (),T;channel;Avg (°C),I;channel;Avg (mA),I;channel;Max (mA),I;channel;Min (mA),V;channel;Avg (V),V;channel;Max (V),V;channel;Min (V)
2022-11-19 00:00:00,1.4265,3.154,0.3664,0.5415,120,80.4119,39.3085,120,77.5931,77.6391,77.5475,0.0206,120,25.6396,25.6963,25.5895,0.0312,120,1007.398,1007.5564,1007.355,0.0594,120,0,0,0,0,120,0,0,0,0,120,13.6174,14.2604,13.2775,0.2366,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4566,3.4593,3.4559,0.001,0.5564,0.557,0.5559,0.0003,0.7759,0.7764,0.7755,0.0002,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,132.225,320,17,58.8558,0,0,0,0,257.5083,932,7,144.1831,35,44.5333,53,41,23.67,23.68,23.63
2022-11-19 00:10:00,1.3837,2.9056,0.2744,0.5554,120,79.7689,43.7125,120,77.6556,77.7306,77.6086,0.0301,120,25.5877,25.6139,25.5711,0.0109,120,1007.3769,1007.5564,1007.355,0.024,120,0,0,0,0,120,0,0,0,0,120,13.6584,14.2604,13.2775,0.2157,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4563,3.4593,3.4559,0.0004,0.5559,0.5561,0.5557,0.0001,0.7766,0.7773,0.7761,0.0003,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,127.575,293,7,60.3691,0,0,0,0,259.35,957,24,159.4618,35,41.7333,49,41,23.67,23.68,23.63
2022-11-19 00:20:00,1.1922,2.6112,0.2836,0.6687,120,92.8103,49.3986,120,77.5521,77.6696,77.4255,0.0751,120,25.6208,25.6444,25.6047,0.0102,120,1007.3435,1007.5381,1007.1718,0.076,120,0,0,0,0,120,0,0,0,0,120,13.6543,14.2604,13.2775,0.2274,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4557,3.459,3.4529,0.0013,0.5562,0.5564,0.5561,0.0001,0.7755,0.7767,0.7743,0.0008,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,106.7583,261,8,72.684,0,0,0,0,298.1417,1004,9,171.0619,34.7,41.5667,47,39,23.67,23.68,23.63
2022-11-19 00:30:00,1.2875,3.154,0.2928,0.6501,120,90.6822,41.4321,120,77.4163,77.4865,77.3034,0.0438,120,25.564,25.6169,25.5315,0.0251,120,1007.2549,1007.3916,1007.1718,0.0926,120,0,0,0,0,120,0,0,0,0,120,13.601,14.2604,13.2775,0.2665,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4542,3.4565,3.4529,0.0015,0.5556,0.5562,0.5553,0.0003,0.7742,0.7749,0.773,0.0004,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,117.125,320,9,70.6624,0,0,0,0,273.5167,776,54,128.3138,34,41.6667,47,39,23.67,23.68,23.63
2022-11-19 00:40:00,1.0078,2.3812,0,0.5263,120,89.1312,48.5401,120,77.2869,77.4255,77.1813,0.0535,120,25.5624,25.5834,25.5406,0.014,120,1007.2022,1007.3916,1006.9887,0.0675,120,0,0,0,0,120,0,0,0,0,120,13.5683,14.2604,12.786,0.2588,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4534,3.4565,3.4498,0.0011,0.5556,0.5558,0.5554,0.0001,0.7729,0.7743,0.7718,0.0005,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,87.475,236,0,55.8715,0,0,0,0,291.0167,998,46,168.3603,34,41.75,47,39,23.67,23.68,23.63
2022-11-19 00:50:00,1.0954,2.3812,0,0.4585,120,79.4034,40.1134,120,77.2248,77.2729,77.1813,0.0219,120,25.531,25.5528,25.5162,0.0069,120,1007.1494,1007.2085,1006.9704,0.0702,120,0,0,0,0,120,0,0,0,0,120,13.642,14.2604,13.2775,0.2252,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4525,3.4535,3.4495,0.0012,0.5553,0.5555,0.5552,0.0001,0.7722,0.7727,0.7718,0.0002,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,96.4333,236,0,49.4172,0,0,0,0,266.575,1019,38,175.2847,34,41.6,47,39,23.67,23.68,23.63
2022-11-19 01:00:00,0.9028,1.6452,0.348,0.3374,120,82.1998,43.884,120,77.2256,77.3339,77.1508,0.0358,120,25.5457,25.5589,25.5345,0.0053,120,1007.2004,1007.3916,1007.0071,0.065,120,0,0,0,0,120,0,0,0,0,120,13.6133,14.2604,13.2775,0.2383,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4533,3.4565,3.4501,0.0011,0.5555,0.5556,0.5554,0.0001,0.7723,0.7733,0.7715,0.0004,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,75.3,156,15,36.6782,0,0,0,0,263.5917,973,31,156.0288,34,41.7333,47,39,23.67,23.68,23.63
2022-11-19 01:10:00,0.7194,1.4704,0.2652,0.2731,120,75.605,51.1545,120,77.3029,77.456,77.1813,0.073,120,25.502,25.5376,25.4765,0.0174,120,1007.2086,1007.3916,1007.1718,0.0684,120,0,0,0,0,120,0,0,0,0,120,13.6297,13.7689,13.2775,0.2224,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4535,3.4565,3.4529,0.0011,0.555,0.5554,0.5548,0.0002,0.773,0.7746,0.7718,0.0007,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,55.3667,137,6,29.6835,0,0,0,0,264.9417,1018,10,192.8247,34,41.6167,47,39,23.67,23.68,23.63
2022-11-19 01:20:00,1.0592,1.9028,0.2652,0.4127,120,79.508,31.2313,120,77.6233,77.7917,77.3949,0.1158,120,25.5162,25.565,25.4765,0.0281,120,1007.1532,1007.355,1006.9887,0.0737,120,0,0,0,0,120,0,0,0,0,120,13.6051,13.7689,13.2775,0.2326,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4526,3.4559,3.4498,0.0012,0.5552,0.5556,0.5548,0.0003,0.7762,0.7779,0.7739,0.0012,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,92.3083,184,6,44.859,0,0,0,0,245.6583,963,2,128.7149,34,41.5833,47,39,23.67,23.68,23.63
2022-11-19 01:30:00,0.8696,2.0224,0.2928,0.4034,120,78.0985,50.6416,120,77.8431,78.1274,77.6696,0.1068,120,25.5597,25.5773,25.5467,0.0066,120,1007.13,1007.2085,1006.9704,0.0815,120,0,0,0,0,120,0,0,0,0,120,13.6297,14.2604,13.2775,0.2483,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4522,3.4535,3.4495,0.0014,0.5556,0.5558,0.5555,0.0001,0.7784,0.7813,0.7767,0.0011,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,71.6917,197,9,43.8505,0,0,0,0,273.0833,1004,18,182.9594,34,41.7,47,39,23.67,23.68,23.63
