datetime,Anemometer;wind_speed;Avg (m/s),Anemometer;wind_speed;Max (m/s),Anemometer;wind_speed;Min (m/s),Anemometer;wind_speed;StdDev (m/s),Anemometer;wind_speed;Count (),Wind Vane TMR;wind_direction;Avg (°),Wind Vane TMR;wind_direction;StdDev (°),Wind Vane TMR;wind_direction;Count (),Hygro/Thermo;humidity;Avg (%),Hygro/Thermo;humidity;Max (%),Hygro/Thermo;humidity;Min (%),Hygro/Thermo;humidity;StdDev (%),Hygro/Thermo;humidity;Count (),Hygro/Thermo;temperature;Avg (°C),Hygro/Thermo;temperature;Max (°C),Hygro/Thermo;temperature;Min (°C),Hygro/Thermo;temperature;StdDev (°C),Hygro/Thermo;temperature;Count (),Barometer;air_pressure;Avg (hPa),Barometer;air_pressure;Max (hPa),Barometer;air_pressure;Min (hPa),Barometer;air_pressure;StdDev (hPa),Barometer;air_pressure;Count (),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Avg (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Max (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Min (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;StdDev (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Count (),GHI (Global Horizontal Irradiance);solar_irradiance;Avg (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;Max (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;Min (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;StdDev (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;Count (),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Avg (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Max (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Min (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;StdDev (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Count (),Precipitation;precipitation;Count (),Precipitation;precipitation;Sum (mm),GTI (Global Tilt Irradiance) PV Cell;voltage;Avg (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;Max (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;Min (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;StdDev (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;Count (),Theta;other;Avg (°),Theta;other;Max (°),Theta;other;Min (°),Theta;other;StdDev (°),Theta;other;Count (),A1;channel;Avg (V),A1;channel;Max (V),A1;channel;Min (V),A1;channel;StdDev (V),A2;channel;Avg (V),A2;channel;Max (V),A2;channel;Min (V),A2;channel;StdDev (V),A3;channel;Avg (V),A3;channel;Max (V),A3;channel;Min (V),A3;channel;StdDev (V),A4;channel;Avg (V),A4;channel;Max (V),A4;channel;Min (V),A4;channel;StdDev (V),A5;channel;Avg (V),A5;channel;Max (V),A5;channel;Min (V),A5;channel;StdDev (V),A6;channel;Avg (V),A6;channel;Max (V),A6;channel;Min (V),A6;channel;StdDev (V),A7;channel;Avg (V),A7;channel;Max (V),A7;channel;Min (V),A7;channel;StdDev (V),C1;channel;Avg (I),C1;channel;Max (I),C1;channel;Min (I),C1;channel;StdDev (I),C2;channel;Avg (I),C2;channel;Max (I),C2;channel;Min (I),C2;channel;StdDev (I),D1;channel;Avg (),D1;channel;Max (),D1;channel;Min (),D1;channel;StdDev (),T;channel;Avg (°C),I;channel;Avg (mA),I;channel;Max (mA),I;channel;Min (mA),V;channel;Avg (V),V;channel;Max (V),V;channel;Min (V)
2022-10-31 00:00:00,1.1645,2.3536,0.3848,0.4387,120,122.856,39.8765,120,79.2937,79.4702,79.0735,0.118,120,25.2621,25.3056,25.2446,0.0154,120,1006.1057,1006.238,1005.9999,0.0911,120,0,0,0,0,120,0,0,0,0,120,13.4577,13.7689,12.786,0.2462,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4351,3.4373,3.4333,0.0015,0.5526,0.5531,0.5524,0.0001,0.7929,0.7947,0.7907,0.0012,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,103.75,233,19,47.6848,0,0,0,0,354.725,997,14,124.9421,34,44.2667,53,41,23.65,23.68,23.63
2022-10-31 00:10:00,1.3101,2.5836,0.4492,0.46,120,132.0905,30.3067,120,79.6253,79.7143,79.4702,0.0673,120,25.2629,25.2934,25.2385,0.0146,120,1006.0974,1006.2197,1005.9999,0.0887,120,0,0,0,0,120,0,0,0,0,120,13.4863,13.7689,13.2775,0.244,120,120,0,0,0,0,0,120,None,None,None,None,0,3.435,3.437,3.4333,0.0015,0.5526,0.5529,0.5524,0.0001,0.7963,0.7971,0.7947,0.0007,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,119.575,258,26,49.9991,0,0,0,0,377.8083,740,160,89.4573,34,42,49,41,23.66,23.68,23.63
2022-10-31 00:20:00,1.73,3.4944,0.7252,0.533,120,110.3927,24.7593,120,79.7655,79.928,79.6533,0.0725,120,25.2963,25.3301,25.2782,0.011,120,1006.0787,1006.238,1005.9999,0.0825,120,0,0,0,0,120,0,0,0,0,120,13.5191,14.2604,13.2775,0.2627,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4346,3.4373,3.4333,0.0014,0.553,0.5533,0.5528,0.0001,0.7977,0.7993,0.7965,0.0007,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,165.2167,357,56,57.9374,0,0,0,0,314.0583,532,169,71.0319,34,41.7,47,39,23.66,23.68,23.63
2022-10-31 00:30:00,1.6048,3.3472,0.4584,0.7166,120,122.2967,37.4583,120,79.826,79.928,79.7754,0.0327,120,25.3455,25.3728,25.3209,0.0118,120,1006.0518,1006.2197,1005.8351,0.0699,120,0,0,0,0,120,0,0,0,0,120,13.4618,14.2604,13.2775,0.2473,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4342,3.437,3.4306,0.0012,0.5535,0.5537,0.5532,0.0001,0.7983,0.7993,0.7978,0.0003,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,151.6083,341,27,77.8905,0,0,0,0,360.3333,979,122,126.7205,34,41.45,47,39,23.66,23.68,23.63
2022-10-31 00:40:00,1.8962,3.9268,0.716,0.6379,120,124.6624,32.5477,120,79.8593,79.9585,79.8059,0.0363,120,25.3459,25.3697,25.3209,0.0147,120,1006.0147,1006.2014,1005.8351,0.0468,120,0,0,0,0,120,0,0,0,0,120,13.4741,13.7689,13.2775,0.2418,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4336,3.4367,3.4306,0.0008,0.5535,0.5537,0.5532,0.0001,0.7986,0.7996,0.7981,0.0004,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,183.2833,404,55,69.3348,0,0,0,0,352.5417,639,67,94.5779,34,41.5333,47,39,23.66,23.68,23.63
2022-10-31 00:50:00,1.7857,3.3012,0.8264,0.4847,120,125.6184,33.9692,120,79.9572,80.0195,79.8975,0.0302,120,25.3374,25.3697,25.3178,0.0108,120,1005.9703,1006.0366,1005.8351,0.0821,120,0,0,0,0,120,0,0,0,0,120,13.5355,14.2604,13.2775,0.2546,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4328,3.4339,3.4306,0.0014,0.5534,0.5537,0.5532,0.0001,0.7996,0.8002,0.799,0.0003,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,171.2667,336,67,52.6898,0,0,0,0,361.05,1017,97,111.0495,34,41.4333,47,39,23.66,23.68,23.63
2022-10-31 01:00:00,2.0715,3.6784,0.9184,0.6177,120,143.1109,27.8308,120,80.0094,80.0806,79.928,0.0425,120,25.3835,25.4125,25.3453,0.0175,120,1005.942,1006.0366,1005.8168,0.0915,120,0,0,0,0,120,0,0,0,0,120,13.515,13.7689,13.2775,0.2466,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4324,3.4339,3.4303,0.0015,0.5538,0.5541,0.5534,0.0002,0.8001,0.8008,0.7993,0.0004,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,202.3333,377,77,67.1411,0,0,0,0,405.0083,576,166,79.8621,33.5,41.5,47,39,23.65,23.68,23.63
2022-10-31 01:10:00,1.5931,2.9976,0.532,0.5708,120,126.4588,40.3384,120,79.9389,79.989,79.8975,0.023,120,25.3566,25.3972,25.3148,0.0225,120,1006.0195,1006.2197,1005.8535,0.0251,120,0,0,0,0,120,0,0,0,0,120,13.3717,13.7689,13.2775,0.1943,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4337,3.437,3.4309,0.0004,0.5536,0.554,0.5532,0.0002,0.7994,0.7999,0.799,0.0002,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,150.3417,303,35,62.0437,0,0,0,0,364.9083,681,119,115.2457,33,41.35,47,39,23.66,23.68,23.63
2022-10-31 01:20:00,2.0446,4.3316,0.7988,0.6627,120,123.3415,34.3734,120,80.0142,80.1111,79.8975,0.0468,120,25.2998,25.327,25.2812,0.0088,120,1005.981,1006.0549,1005.8351,0.0761,120,0,0,0,0,120,0,0,0,0,120,13.4413,13.7689,13.2775,0.2326,120,120,0,0,0,0,0,120,None,None,None,None,0,3.433,3.4342,3.4306,0.0013,0.553,0.5533,0.5528,0.0001,0.8001,0.8011,0.799,0.0005,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,199.4083,448,64,72.0363,0,0,0,0,361.3417,1021,90,114.9956,33,41.6,47,39,23.65,23.68,23.63
2022-10-31 01:30:00,1.5812,3.614,0.4952,0.5933,120,127.6646,35.3489,120,79.9173,80.0806,79.8364,0.0512,120,25.2694,25.3026,25.2385,0.0181,120,1005.8811,1006.0366,1005.6337,0.0835,120,0,0,0,0,120,0,0,0,0,120,13.4536,13.7689,13.2775,0.2366,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4314,3.4339,3.4272,0.0014,0.5527,0.553,0.5524,0.0002,0.7992,0.8008,0.7984,0.0005,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,149.0417,370,31,64.4934,0,0,0,0,365.1833,849,33,107.37,33,41.7167,47,39,23.65,23.68,23.63
