datetime,Anemometer;wind_speed;Avg (m/s),Anemometer;wind_speed;Max (m/s),Anemometer;wind_speed;Min (m/s),Anemometer;wind_speed;StdDev (m/s),Anemometer;wind_speed;Count (),Wind Vane TMR;wind_direction;Avg (°),Wind Vane TMR;wind_direction;StdDev (°),Wind Vane TMR;wind_direction;Count (),Hygro/Thermo;humidity;Avg (%),Hygro/Thermo;humidity;Max (%),Hygro/Thermo;humidity;Min (%),Hygro/Thermo;humidity;StdDev (%),Hygro/Thermo;humidity;Count (),Hygro/Thermo;temperature;Avg (°C),Hygro/Thermo;temperature;Max (°C),Hygro/Thermo;temperature;Min (°C),Hygro/Thermo;temperature;StdDev (°C),Hygro/Thermo;temperature;Count (),Barometer;air_pressure;Avg (hPa),Barometer;air_pressure;Max (hPa),Barometer;air_pressure;Min (hPa),Barometer;air_pressure;StdDev (hPa),Barometer;air_pressure;Count (),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Avg (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Max (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Min (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;StdDev (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Count (),GHI (Global Horizontal Irradiance);solar_irradiance;Avg (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;Max (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;Min (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;StdDev (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;Count (),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Avg (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Max (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Min (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;StdDev (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Count (),Precipitation;precipitation;Count (),Precipitation;precipitation;Sum (mm),GTI (Global Tilt Irradiance) PV Cell;voltage;Avg (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;Max (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;Min (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;StdDev (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;Count (),Theta;other;Avg (°),Theta;other;Max (°),Theta;other;Min (°),Theta;other;StdDev (°),Theta;other;Count (),A1;channel;Avg (V),A1;channel;Max (V),A1;channel;Min (V),A1;channel;StdDev (V),A2;channel;Avg (V),A2;channel;Max (V),A2;channel;Min (V),A2;channel;StdDev (V),A3;channel;Avg (V),A3;channel;Max (V),A3;channel;Min (V),A3;channel;StdDev (V),A4;channel;Avg (V),A4;channel;Max (V),A4;channel;Min (V),A4;channel;StdDev (V),A5;channel;Avg (V),A5;channel;Max (V),A5;channel;Min (V),A5;channel;StdDev (V),A6;channel;Avg (V),A6;channel;Max (V),A6;channel;Min (V),A6;channel;StdDev (V),A7;channel;Avg (V),A7;channel;Max (V),A7;channel;Min (V),A7;channel;StdDev (V),C1;channel;Avg (I),C1;channel;Max (I),C1;channel;Min (I),C1;channel;StdDev (I),C2;channel;Avg (I),C2;channel;Max (I),C2;channel;Min (I),C2;channel;StdDev (I),D1;channel;Avg (),D1;channel;Max (),D1;channel;Min (),D1;channel;StdDev (),T;channel;Avg (°C),I;channel;Avg (mA),I;channel;Max (mA),I;channel;Min (mA),V;channel;Avg (V),V;channel;Max (V),V;channel;Min (V)
2022-11-08 00:00:00,1.881,4.1108,0.3204,0.792,120,90.5905,44.2999,120,79.2563,79.5007,79.0735,0.098,120,26.2616,26.3189,26.1693,0.0364,120,1008.6001,1008.6917,1008.4719,0.0976,120,1.8724,5.0465,0,1.8362,120,0,0,0,0,120,13.1014,14.2604,12.2946,0.4069,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4767,3.4782,3.4745,0.0016,0.5626,0.5632,0.5617,0.0004,0.7926,0.795,0.7907,0.001,-0.0001,-0.0001,-0.0001,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,181.6333,424,12,86.0838,0,0,0,0,304.6167,1018,5,186.2539,36,44.2667,51,39,23.67,23.68,23.63
2022-11-08 00:10:00,1.5028,2.5008,0.67,0.4668,120,106.8576,33.0185,120,79.5462,79.8669,79.2566,0.1733,120,26.0778,26.2059,25.9862,0.0609,120,1008.5923,1008.6917,1008.4719,0.0996,120,5.525,6.4882,4.5661,0.5382,120,0,0,0,0,120,13.7689,14.2604,13.2775,0.2015,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4765,3.4782,3.4745,0.0017,0.5608,0.5621,0.5599,0.0006,0.7955,0.7987,0.7926,0.0017,-0.0001,-0.0001,-0.0001,0,0.0001,0.0001,0.0001,0,0,0,0,0,0,0,0,0,140.5167,249,50,50.7356,0,0,0,0,306.6,673,36,97.0309,36,41.9833,49,39,23.68,23.68,23.63
2022-11-08 00:20:00,1.2422,2.5284,0.3572,0.5679,120,86.0081,51.6163,120,79.8369,79.989,79.6838,0.0684,120,26.0166,26.0625,25.9618,0.0184,120,1008.3853,1008.5086,1008.2888,0.0872,120,4.8762,6.248,3.3646,0.7003,120,0,0,0,0,120,13.8386,14.2604,13.2775,0.2409,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4731,3.4751,3.4715,0.0015,0.5602,0.5606,0.5596,0.0002,0.7984,0.7999,0.7968,0.0007,-0.0001,-0.0001,-0.0001,0,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0,112.2,252,16,61.7268,0,0,0,0,320.1083,1022,8,216.1431,35.6,41.6,47,39,23.68,23.68,23.63
2022-11-08 00:30:00,1.2578,3.2368,0.2836,0.7451,120,96.1962,53.3784,120,79.8621,79.9585,79.6838,0.0548,120,25.9786,26.032,25.9282,0.0193,120,1008.3059,1008.4902,1008.1057,0.0385,120,5.577,7.2094,3.8449,0.8224,120,0,0,0,0,120,13.7771,14.2604,13.2775,0.2112,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4718,3.4748,3.4684,0.0006,0.5598,0.5603,0.5593,0.0002,0.7986,0.7996,0.7968,0.0005,-0.0001,-0.0001,-0.0001,0,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0,113.8917,329,8,80.9845,0,0,0,0,342.9333,1021,33,208.7623,35,41.7167,47,39,23.68,23.68,23.63
2022-11-08 00:40:00,0.8652,2.7216,0,0.5436,120,101.1478,57.2384,120,79.7438,79.8669,79.6228,0.0566,120,25.9721,26.0106,25.9404,0.0151,120,1008.2611,1008.3254,1008.0874,0.0779,120,4.1192,5.2866,2.6433,0.7038,120,0,0,0,0,120,13.7485,14.2604,13.2775,0.2332,120,120,0,0,0,0,0,120,None,None,None,None,0,3.471,3.4721,3.4681,0.0013,0.5597,0.5601,0.5594,0.0001,0.7974,0.7987,0.7962,0.0006,-0.0001,-0.0001,-0.0001,0,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0,71.4083,273,0,58.8188,0,0,0,0,341.175,1018,4,203.0481,35,41.7333,47,39,23.68,23.68,23.63
2022-11-08 00:50:00,1.397,2.7492,0.256,0.593,120,95.1367,41.8578,120,79.6467,79.8059,79.4092,0.0956,120,25.9599,26.0137,25.9038,0.0209,120,1008.2247,1008.3254,1008.0874,0.0928,120,3.5746,5.0465,0.9614,1.1364,120,0,0,0,0,120,13.7648,14.2604,13.2775,0.2064,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4704,3.4721,3.4681,0.0015,0.5596,0.5601,0.559,0.0002,0.7965,0.7981,0.7941,0.001,-0.0001,-0.0001,-0.0001,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,129.025,276,5,64.4546,0,0,0,0,299.6917,1013,18,154.9144,35,41.5833,49,39,23.68,23.68,23.63
2022-11-08 01:00:00,1.2298,2.924,0.302,0.5251,120,101.3295,36.8915,120,79.3489,79.5618,79.1345,0.1118,120,25.9031,25.9648,25.8367,0.0237,120,1008.1942,1008.3254,1008.0874,0.0943,120,0.1682,1.2016,0,0.303,120,0,0,0,0,120,13.6379,14.2604,13.2775,0.2446,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4699,3.4721,3.4681,0.0016,0.559,0.5596,0.5584,0.0002,0.7935,0.7956,0.7913,0.0011,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,110.85,295,10,57.0793,0,0,0,0,288.8,757,4,109.7413,35,41.7333,47,39,23.68,23.68,23.63
2022-11-08 01:10:00,1.4624,2.9792,0.4584,0.5836,120,105.7211,33.9289,120,78.9911,79.1955,78.7988,0.0919,120,25.8261,25.9038,25.7573,0.0333,120,1008.0769,1008.2888,1007.8127,0.0885,120,0,0,0,0,120,0,0,0,0,120,13.7526,14.2604,13.2775,0.2291,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4679,3.4715,3.4635,0.0015,0.5583,0.559,0.5576,0.0003,0.7899,0.792,0.788,0.0009,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,136.1333,301,27,63.4309,0,0,0,0,310.2333,760,85,106.3498,35,41.8667,47,39,23.68,23.68,23.63
2022-11-08 01:20:00,1.1459,2.2524,0.4216,0.4667,120,80.8644,40.2083,120,78.8069,79.0429,78.6462,0.0977,120,25.8332,25.8916,25.7787,0.0249,120,1007.9548,1008.124,1007.9043,0.0739,120,0,0,0,0,120,0,0,0,0,120,13.7362,14.2604,13.2775,0.2182,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4659,3.4687,3.4651,0.0012,0.5583,0.5589,0.5578,0.0003,0.7881,0.7904,0.7865,0.001,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,101.7333,222,23,50.7273,0,0,0,0,253.1333,928,11,147.2114,35,41.6,47,39,23.68,23.68,23.63
2022-11-08 01:30:00,1.006,2.2432,0.2284,0.4375,120,91.0703,48.5174,120,78.8085,78.9514,78.7072,0.0655,120,25.8015,25.8489,25.7573,0.0207,120,1007.9252,1008.124,1007.7395,0.0516,120,0,0,0,0,120,0,0,0,0,120,13.6952,14.2604,13.2775,0.2175,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4654,3.4687,3.4623,0.0009,0.558,0.5585,0.5576,0.0002,0.7881,0.7895,0.7871,0.0007,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,86.5167,221,2,47.5594,0,0,0,0,301.9333,1021,17,175.6902,35,41.7,47,39,23.68,23.68,23.63
